,Obtained,Name,Source
0,,Dagger,"Buy from merchant: Twin Maiden Husks Enemy drop: Highwayman (Chance), Soldier (Chance),"
1,,Parrying Dagger,Buy from merchant: Patches Quest: Patches
2,,Miséricorde,On ground: Stormveil Castle
3,,Great Knife,"Enemy drop: Demi-Human in Lakeside Crystal Cave and Craftsman's Shack (Chance),"
4,,Bloodstained Dagger,"Enemy drop: Demi-Human Chief in Hermit Village and Minor Erdtree (Weeping Peninsula),"
5,,Erdsteel Dagger,On ground: Leyndell Royal Capital Quest: Kenneth Haight
6,,Wakizashi,On ground: Gaol Cave
7,,Celebrant's Sickle,"Enemy drop: Celebrant (Chance),"
8,,Ivory Sickle,On ground: Village of the Albinaurics
9,,Crystal Knife,On ground: Raya Lucaria Crystal Tunnel
10,,Scorpion's Stinger,On ground: Grand Cloister
11,,Cinquedea,On ground: Bestial Sanctum
12,,Glintstone Kris,Quest: Sorceress Sellen
13,,Reduvia,"Enemy drop: Bloody Finger Nerijus ,"
14,,Blade of Calling,On ground: Forbidden Lands
15,,Black Knife,"Enemy drop: Black Knife Assassin in Sainted Hero's Grave,"
16,,Main-gauche,On ground: Shadow Keep
17,,Fire Knight's Shortsword,
0,,Short Sword,"Buy from merchant: Nomadic Merchant North Limgrave Enemy drop: Highwayman (Chance),"
1,,Longsword,Buy from merchant: Twin Maiden Husks
2,,Broadsword,Buy from merchant: Nomadic Merchant West Limgrave
3,,Weathered Straight Sword,"Enemy drop: Commoner (Chance), Frenzied Villager (Chance),"
4,,Lordsworn's Straight Sword,"Enemy drop: Godrick Soldier (Sword & Shield) (Chance), Godrick Soldier (Warpick & Shield) (Chance), Mausoleum Soldier (Chance),"
5,,Noble's Slender Sword,"Enemy drop: Common Noble (Chance),"
6,,Cane Sword,On ground: Leyndell Royal Capital
7,,Warhawk's Talon,"Enemy drop: Bladed Talon Eagle (Chance),"
8,,Lazuli Glintstone Sword,"Enemy drop: Lazuli Sorcerer (Chance),"
9,,Carian Knight's Sword,On ground: Liurnia of the Lakes
10,,Crystal Sword,On ground: Village of the Albinaurics
11,,Rotten Crystal Sword,"On ground: Elphael, Brace of the Haligtree"
12,,Miquellan Knight's Sword,"On ground: Elphael, Brace of the Haligtree"
13,,Ornamental Straight Sword,"Enemy drop: Grafted Scion in Chapel of Anticipation,"
14,,Golden Epitaph,On ground: Auriza Hero's Grave
15,,Sword of St Trina,On ground: Forsaken Ruins
16,,Regalia of Eochaid,On ground: Gaol Cave
17,,Coded Sword,On ground: Leyndell Royal Capital
18,,Sword of Night and Flame,On ground: Caria Manor
19,,Stone-Sheathed Sword,
20,,Sword of Darkness,
21,,Sword of Light,
22,,Velvet Sword of St Trina,
0,,Bastard Sword,Buy from merchant: Nomadic Merchant Castle Morne Rampart
1,,Claymore,On ground: Castle Morne
2,,Iron Greatsword,"Enemy drop: Misbegotten in Leyndell Royal Capital and Ordina Liturgical Town and Miquella's Haligtree (Chance),"
3,,Lordsworn's Greatsword,On ground: Gatefront Ruins
4,,Knight's Greatsword,"Enemy drop: Godrick Knight (Chance), Leyndell Knight (Chance), Haligtree Knight (Chance), Mausoleum Knight (Chance), Radahn Knight (Chance), Raya Lucaria Knight (Chance),"
5,,Banished Knight's Greatsword,"Enemy drop: Banished Knight (Chance),"
6,,Forked Greatsword,"Enemy drop: Fanged Imp in Road's End Catacombs (Chance),"
7,,Flamberge,On ground: Redmane Castle
8,,Gargoyle's Greatsword,"Enemy drop: Valiant Gargoyle in Siofra Aqueduct,"
9,,Gargoyle's Blackblade,"Enemy drop: Black Blade Kindred in Bestial Sanctum,"
10,,Inseparable Sword,"Quest: D, Hunter of the Dead"
11,,Sword of Milos,Quest: Dung Eater
12,,Marais Executioner's Sword,"Enemy drop: Elemer of the Briar ,"
13,,Ordovis's Greatsword,"Enemy drop: Crucible Knight Ordovis ,"
14,,Alabaster Lord's Sword,"Enemy drop: Alabaster Lord in Lake of Rot,"
15,,Death's Poker,"Enemy drop: Death Rite Bird in Caelid,"
16,,Helphen's Steeple,"Enemy drop: Tibia Mariner in Mountaintops of the Giants,"
17,,Blasphemous Blade,Buy from merchant: Enia
18,,Golden Order Greatsword,"Enemy drop: Misbegotten Crusader ,"
19,,Dark Moon Greatsword,Quest: Ranni
20,,Sacred Relic Sword,Buy from merchant: Enia
21,,Greatsword of Damnation,
22,,Greatsword of Solitude,
23,,Lizard Greatsword,
0,,Leda's Sword,
1,,Milady,
2,,Rellana's Twinblade,
0,,Zweihander,Buy from merchant: Isolated Merchant Weeping Peninsula
1,,Greatsword,On ground: Caelem Ruins
2,,Watchdog's Greatsword,"Enemy drop: Lesser Burial Watchdog (Chance),"
3,,Troll's Golden Sword,On ground: Altus Plateau
4,,Troll Knight's Sword,"Enemy drop: Troll Knight in Caria Manor (Chance),"
5,,Royal Greatsword,Quest: Blaidd
6,,Grafted Blade Greatsword,"Enemy drop: Leonine Misbegotten ,"
7,,Ruins Greatsword,"Enemy drop: Lesser Crucible Knight in Redmane Castle, Misbegotten Warrior in Redmane Castle,"
8,,Starscourge Greatsword,Buy from merchant: Enia
9,,Godslayer's Greatsword,On ground: Divine Tower of Caelid
10,,Maliketh's Black Blade,Buy from merchant: Enia
11,,Ancient Meteoric Ore Greatsword,
12,,Fire Knight's Greatsword,
13,,Greatsword of Radahn (Light),
14,,Greatsword of Radahn (Lord),
15,,Moonrithyll's Knight Sword,
0,,Rapier,Buy from merchant: Twin Maiden Husks
1,,Estoc,Buy from merchant: Nomadic Merchant Liurnia of the LakesPatches
2,,Noble's Estoc,"Enemy drop: Soldier Noble (Chance),"
3,,Cleanrot Knight's Sword,"Enemy drop: Lesser Cleanrot Knight in Swamp of Aeonia (Chance),"
4,,Rogier's Rapier,Quest: Sorcerer Rogier
5,,Antspur Rapier,"Enemy drop: Maleigh Marais, Shaded Castle Castellan ,"
6,,Frozen Needle,On ground: Kingsrealm Ruins
7,,Carian Sorcery Sword,
0,,Great Epee,On ground: Limgrave
1,,Godskin Stitcher,"Enemy drop: Godskin Noble in Volcano Manor,"
2,,Bloody Helice,On ground: Writheblood Ruins
3,,Dragon King's Cragblade,Buy from merchant: Enia
4,,Queelign's Greatsword,
5,,Sword Lance,
0,,Scimitar,"Buy from merchant: Twin Maiden Husks Enemy drop: Skeletal Militiaman in Deathtouched Catacombs and Tombsward Catacombs (Chance),"
1,,Falchion,"Enemy drop: Demi-Human (Chance),"
2,,Shamshir,On ground: Highroad Cave
3,,Grossmesser,"Enemy drop: Skeletal Militiaman in Tombsward Catacombs (Chance),"
4,,Bandit's Curved Sword,"Enemy drop: Skeletal Militiaman in Limgrave (Chance),"
5,,Shotel,Buy from merchant: Abandoned Merchant Siofra River
6,,Scavenger's Curved Sword,On ground: Mt Gelmir
7,,Mantis Blade,"Enemy drop: Cemetery Shade in Gelmir Hero's Grave,"
8,,Beastman's Curved Sword,"Enemy drop: Azula Beastman (Chance),"
9,,Flowing Curved Sword,On ground: Consecrated Snowfield
10,,Serpent-God's Curved Sword,On ground: Ruin-Strewn Precipice
11,,Magma Blade,"Enemy drop: Man-Serpent (Chance),"
12,,Nox Flowing Sword,"Enemy drop: Nox Swordstress & Nox Priest ,"
13,,Wing of Astel,On ground: Uhl Palace Ruins
14,,Eclipse Shotel,On ground: Castle Sol
15,,Dancing Blade of Ranah,
16,,Falx,
17,,Horned Warrior's Sword,
18,,Spirit Sword,
0,,Dismounter,"Enemy drop: Kaiden Sellsword (Chance),"
1,,Omen Cleaver,"Enemy drop: Omen (Chance),"
